,0
XGB_precision_1,0.7978402057167361
XGB_precision_2,0.7975229059651335
XGB_recall_1,0.762412591463615
XGB_recall_2,0.7588321235819571
XGB_f1_1,0.5360574724370925
XGB_f1_2,0.5276930544189062
XGB_MCC_1,0.7660630859648769
XGB_MCC_2,0.7676053100174199
XGB_PRC_AUC_1,0.7537760085029073
XGB_PRC_AUC_2,0.746170669583725
LR_precision_1,0.8097912017602441
LR_precision_2,0.8401769904469425
LR_recall_1,0.7043425374028891
LR_recall_2,0.7178801136147659
LR_f1_1,0.45471400704243725
LR_f1_2,0.46835751607649506
LR_MCC_1,0.6973145061152929
LR_MCC_2,0.7614997704257307
LR_PRC_AUC_1,0.6864975167009328
LR_PRC_AUC_2,0.6866848009646535
RF_precision_1,0.7976840145253775
RF_precision_2,0.7999523067294511
RF_recall_1,0.7623758990813123
RF_recall_2,0.7587145393633329
RF_f1_1,0.5357766772972163
RF_f1_2,0.5259280469695596
RF_MCC_1,0.7703559365338204
RF_MCC_2,0.7709491132218481
RF_PRC_AUC_1,0.7539629081786605
RF_PRC_AUC_2,0.7434539210563518
