,0
XGB_precision_1,0.7965366421260903
XGB_precision_2,0.8311521976751611
XGB_recall_1,0.8577334050373018
XGB_recall_2,0.8515517351562533
XGB_f1_1,0.8112015534764584
XGB_f1_2,0.8266296732511569
XGB_PRC_AUC_1,0.8504447139064422
XGB_PRC_AUC_2,0.8632989093442344
LR_precision_1,0.6892854850646039
LR_precision_2,0.8334264464815575
LR_recall_1,0.6935398061916461
LR_recall_2,0.8499957684960293
LR_f1_1,0.6764977654334999
LR_f1_2,0.8268767672217489
LR_PRC_AUC_1,0.8382842662316988
LR_PRC_AUC_2,0.87990853795003
RF_precision_1,0.802879106862387
RF_precision_2,0.8125012018017301
RF_recall_1,0.8531797486672821
RF_recall_2,0.8578002670089084
RF_f1_1,0.8144398487630028
RF_f1_2,0.8191074326575416
RF_PRC_AUC_1,0.8547291429825093
RF_PRC_AUC_2,0.8627520143271964
